tweet,is_retweet,retweeted,mentioned,hashtags,clean_tweet
"RT @kennardmatt: The Azov Battalion was a neo-Nazi paramilitary unit made up of football hooligans. Soon after the ""Maidan revolution"" in 2…",True,['@kennardmatt'],[],[], azov battalion neo nazi paramilitari unit made footbal hooligan soon maidan revolut  
RT @john_sipher: “A free Ukraine will pull Russia westward if it isn’t brought to heel.” https://t.co/NjGViJWzHc,True,['@john_sipher'],[],[], free ukrain pull russia westward brought heel 
RT @Reuters: President Joe Biden said that he would consider imposing direct sanctions on President Vladimir Putin if Russia invades Ukrain…,True,['@Reuters'],[],[], presid joe biden said would consid impos direct sanction presid vladimir putin russia invad ukrain 
RT @DCBMEP: .@BorisJohnson on top form at #PMQs - Labour look sunken behind Starmer; who has missed his target: ‘a lawyer not a Leader’. No…,True,['@DCBMEP'],['@BorisJohnson'],['#PMQs'], top form pmq labour look sunken behind starmer miss target ‘a lawyer leader 
RT @DonaldJTrumpJr: Americas kids dying in a European land war with Russia is a small price to pay for Hunter Biden and fam to get rich AF…,True,['@DonaldJTrumpJr'],[],[], america kid die european land war russia small price pay hunter biden fam get rich af 
"RT @WriterJackWhite: As @nato meets Russia under Putin's blackmail of 100,000 troops to invade Ukraine. In 2018 after NATO meet after Salis…",True,['@WriterJackWhite'],['@nato'],[], meet russia putin blackmail   troop invad ukrain  nato meet sali 
"RT @JuliaDavisNews: The tactic of terrorizing American audiences with the possibility of nuclear war, in order to undermine U.S. support fo…",True,['@JuliaDavisNews'],[],[], tactic terror american audienc possibl nuclear war order undermin u support fo 
RT @BestForBritain: That’s strange. The PM told Parliament he is the one leading Europe on Ukraine negotiations. He’s not even in the room.…,True,['@BestForBritain'],[],[], strang pm told parliament one lead europ ukrain negoti even room 
@davnrussell @ASBMilitary All this could be resolved if Ukraine remains neutral it’s really simple. No need for a N… https://t.co/nTRWngCO11,False,[],"['@davnrussell', '@ASBMilitary']",[], could resolv ukrain remain neutral realli simpl need n 
RT @BestForBritain: That’s strange. The PM told Parliament he is the one leading Europe on Ukraine negotiations. He’s not even in the room.…,True,['@BestForBritain'],[],[], strang pm told parliament one lead europ ukrain negoti even room 
"RT @JohnCleese: So Fox News is on Russia's side in the conflict with Ukraine

Not surprising really ; Rupert Murdoch isn't a big fan 
of de…",True,['@JohnCleese'],[],[], fox news russia side conflict ukrain surpris realli rupert murdoch big fan de 
"RT @zerohedge: UKRAINE PRESIDENT SAYS THE SITUATION IN THE EAST IS UNDER CONTROL

is it over?",True,['@zerohedge'],[],[], ukrain presid say situat east control 
RT @JackPosobiec: BREAKING: Only 31% want US troops to defend Ukraine - Rasmussen,True,['@JackPosobiec'],[],[], break  want us troop defend ukrain rasmuss
"RT @brianlilley: Today, PM @JustinTrudeau announced that Canada will standby Ukraine and send 60 more soldiers. Could send 140 more later.…",True,['@brianlilley'],['@JustinTrudeau'],[], today pm announc canada standbi ukrain send  soldier could send  later 
"RT @Bubblebathgirl: Why is Biden planning a national address on the Ukraine “crisis” — but not on the US border, economy, or supply chain c…",True,['@Bubblebathgirl'],[],[], biden plan nation address ukrain crisi — us border economi suppli chain c 
"RT @tavisupleba: “Russia would be unwise to attack Ukraine and in that case Turkey would do what is necessary as a NATO member, President T…",True,['@tavisupleba'],[],[], russia would unwis attack ukrain case turkey would necessari nato member presid 
RT @BestForBritain: That’s strange. The PM told Parliament he is the one leading Europe on Ukraine negotiations. He’s not even in the room.…,True,['@BestForBritain'],[],[], strang pm told parliament one lead europ ukrain negoti even room 
RT @ianbremmer: Ukraine vs Russia military by the numbers: https://t.co/fsZF4Tkdib,True,['@ianbremmer'],[],[], ukrain vs russia militari number 
"RT @ASLuhn: Blinken says the written response to Russia's demands ""reiterates what we've said publicly...that we will uphold the principle…",True,['@ASLuhn'],[],[], blinken say written respons russia demand reiter said publicli uphold principl 
RT @LeftFlankVets: United States got weapons to Ukraine faster than Covid tests to its citizens,True,['@LeftFlankVets'],[],[], unit state got weapon ukrain faster covid test citizen
RT @realTanyaTay: Can someone please explain how going war in Ukraine puts the food on shelves at the supermarket for my kids and makes gas…,True,['@realTanyaTay'],[],[], someon pleas explain go war ukrain put food shelv supermarket kid make ga 
RT @Blacks4Peace: The Biden admin has no moral authority to help Ukraine or any place else in the world. The US are in fact habitual violat…,True,['@Blacks4Peace'],[],[], biden admin moral author help ukrain place els world us fact habitu violat 
"RT @laurenboebert: Are we all just going to not bring up the $183,000 per month payments from Burisma to Hunter Biden as all this goes down…",True,['@laurenboebert'],[],[], go bring   per month payment burisma hunter biden goe 
Russia-Ukraine Crisis Already Paying Dividends For Putin https://t.co/Ww4WgWRICL via @American Conservatives,False,[],['@American'],[],russia ukrain crisi alreadi pay dividend putin via conserv
"RT @john_sipher: “Ukraine may pay a terrible price initially for this resistance, but if the West stays united in opposing Putin, he’ll los…",True,['@john_sipher'],[],[], ukrain may pay terribl price initi resist west stay unit oppos putin lo 
"RT @RichardEngel: A western Intelligence official tells me, his analysis is that Putin’s goal is to topple President Zelensky and make Ukra…",True,['@RichardEngel'],[],[], western intellig offici tell analysi putin goal toppl presid zelenski make ukra 
RT @bealejonathan: Ukraine crisis: UK 'not optimistic' Russian invasion can be stopped - BBC News https://t.co/7POBUeYCHE,True,['@bealejonathan'],[],[], ukrain crisi uk optimist russian invas stop bbc news 
RT @JRubinBlogger: Opinion | Russia’s looming invasion of Ukraine shows why Trump’s first impeachment was necessary and proper &lt;-- this htt…,True,['@JRubinBlogger'],[],[], opinion russia loom invas ukrain show trump first impeach necessari proper lt htt 
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…",True,['@Ladyinyellow__'],[],[], healthi brother die ukrain overnight thread brother fadlullah agboluaj pictur 
